user_id,user_age_days,followers_count,following_count,favourites_count,listed_count,tweet_count,is_verified,is_protected,desc_length_x,desc_has_url,username_length,name_length,location_length,profile_image_is_default,has_url,avg_tweets_per_day,label
24858289,1859.2466087962962,22,40,1,0,1299,0,0,0,0,9,14,0,1,0,0.698670092044606,1
33212890,1855.363125,12561,3442,16358,110,18665,0,0,134,0,12,14,5,0,1,10.06002530633456,1
39773427,1826.3244560185185,600,755,14,6,22987,0,0,23,0,10,15,26,0,0,12.586482052332784,1
57007623,1769.4369791666666,398,350,11,2,7975,0,0,151,0,14,18,27,0,0,4.507083377023588,1
63258466,1740.0899768518518,413,405,162,8,20218,0,0,79,0,11,17,7,0,1,11.618939398156412,1
96435556,1592.0188078703704,134,401,55,1,15259,0,0,104,0,10,7,0,0,0,9.584685755582965,1
108992875,1592.2725925925927,337,630,655,1,9551,0,0,82,0,13,14,4,0,1,5.998344779928913,1
177671726,1377.1617939814814,28,105,38,0,206,0,0,75,0,15,16,9,0,0,0.1495830052435996,1
223945761,1267.1765277777777,2617,52,0,28,93793,0,0,0,0,13,16,0,0,1,74.01731161361204,1
237177357,1244.6584837962962,1561,2001,0,0,490,0,0,37,0,13,14,6,0,0,0.3936822879411733,1
237178034,1243.6586458333334,2355,2074,0,3,450,0,0,157,0,11,17,13,0,0,0.3618356219737729,1
237192061,1244.6138425925926,4772,5167,0,5,507,0,0,107,0,9,11,8,0,0,0.4073552633293379,1
237192993,1244.6128356481481,5772,6022,0,7,513,0,0,63,0,11,12,14,0,0,0.41217636914428274,1
237197647,1244.5992824074074,124,0,0,0,311,0,0,158,0,14,11,8,0,0,0.2498796232218279,1
237201814,1234.5844791666666,4375,4777,0,5,471,0,0,30,0,9,5,4,0,0,0.3815048767958073,1
237226175,1244.5152199074073,5508,5642,0,3,478,0,0,103,0,9,13,8,0,0,0.3840852984116001,1
237234251,1244.492164351852,5505,5701,0,7,447,0,0,26,0,10,13,7,0,0,0.35918265493750284,1
237326341,1244.3096990740742,5530,5873,0,5,444,0,0,61,0,9,9,9,0,0,0.3568243500581636,1
237332572,1244.2961921296296,6018,6466,0,11,486,0,0,156,0,8,11,9,0,0,0.39058224455193596,1
237346330,1242.2706828703704,5359,5595,0,5,449,0,0,99,0,10,14,6,0,0,0.36143491577947645,1
237359828,1244.2476620370371,4870,5350,0,8,514,0,0,154,0,11,13,6,0,0,0.41310103709208246,1
237367607,1244.232175925926,4316,4716,0,5,477,0,0,158,0,11,14,6,0,0,0.3833689634827678,1
237375183,1244.2172453703704,4420,4731,0,5,497,0,0,158,0,9,13,9,0,0,0.3994479271605083,1
240706202,1236.3416087962962,4855,5300,3,9,5550,0,0,56,0,10,9,0,0,0,4.489050563391162,1
260649579,1193.595486111111,1901,1895,874,2,13013,0,0,118,0,9,10,0,0,0,10.902353553208957,1
282659109,1135.2660416666668,192,73,0,1,22794,0,0,162,0,7,7,7,0,1,20.078113097136562,1
299988118,1068.9380671296296,243,965,272,0,9053,0,0,37,0,11,5,6,0,0,8.469152956485544,1
327060670,1032.014398148148,10854,10606,418,66,25930,0,0,134,0,6,15,13,0,1,25.12561842296319,1
336996257,1041.6332060185184,3307,934,34156,88,106283,0,0,155,1,13,14,6,0,1,102.03495749162542,1
357536147,988.3676273148149,3236,1923,2,50,381,0,0,0,0,15,19,0,0,0,0.38548409426319646,1
393927847,964.5814930555556,466,682,7,0,306,0,0,0,0,13,16,26,0,1,0.3172360260753414,1
418371090,929.8484375,4822,5207,0,6,469,0,0,7,0,9,8,7,0,0,0.5043832742856189,1
418501358,929.6522800925926,4421,4827,0,8,413,0,0,54,0,13,6,6,0,0,0.444252123508602,1
421987528,887.2567592592593,152,294,9,0,4986,0,0,97,0,13,14,7,0,0,5.619568340671842,1
430928749,878.1995486111111,590,29,0,5,31332,0,0,0,0,15,19,0,0,1,35.67754050189914,1
434722849,910.6786342592593,4090,4498,0,1,443,0,0,0,0,13,13,5,0,0,0.48645041494125224,1
434727810,909.6729166666667,4367,4803,0,4,422,0,0,49,0,15,16,6,0,0,0.4639030049200985,1
434728619,910.6701273148149,4486,4935,0,5,482,0,0,53,0,10,11,6,0,0,0.5292805649526857,1
434729769,910.6678703703703,4447,4807,0,1,458,0,0,36,0,11,16,6,0,0,0.5029275923732798,1
434732328,910.6653703703704,4032,4414,0,5,507,0,0,0,0,9,15,7,0,0,0.5567357845583453,1
434742028,904.6503009259259,4159,4483,0,3,437,0,0,14,0,14,15,6,0,0,0.4830595856428313,1
434756188,910.6257870370371,3800,4185,0,2,460,0,0,28,0,14,9,6,0,0,0.5051471263421884,1
434775697,910.5925231481482,4116,4527,0,6,467,0,0,24,0,13,13,8,0,0,0.5128528816298757,1
434790178,910.572037037037,4317,4749,0,5,441,0,0,102,0,11,12,6,0,0,0.48431094035204997,1
434792369,910.5681944444444,4514,4730,0,6,439,0,0,29,0,13,4,6,0,0,0.4821165533743752,1
434795107,910.5641319444444,4200,4435,0,4,460,0,0,18,0,12,9,6,0,0,0.5051813302952332,1
458941316,843.8272337962962,128,472,383,0,901,0,0,122,0,15,11,0,0,0,1.0677541122709857,1
465192765,875.8704398148149,5197,5568,0,3,359,0,0,36,0,11,6,9,0,0,0.40987797198182113,1
465196345,875.8649537037037,0,0,0,0,120,0,0,61,0,14,15,6,0,0,0.13700742261185092,1
465303273,875.7180324074075,1,0,0,0,79,0,0,81,0,12,13,7,0,0,0.09021168570962508,1
465305493,875.7152430555556,4107,4432,0,5,213,0,0,86,0,14,2,0,0,0,0.2432297501338086,1
465306140,865.7135648148148,0,0,0,0,33,0,0,133,0,14,15,7,0,0,0.03811884357956225,1
465306667,875.7150347222222,5868,6198,0,7,321,0,0,19,0,14,5,4,0,0,0.3665575979693714,1
465317813,875.6995486111111,4992,5250,0,1,257,0,0,140,0,13,7,0,0,0,0.2934796530546704,1
465318952,875.6964583333333,0,0,0,0,137,0,0,101,0,15,16,7,0,0,0.15644690410681567,1
465319501,875.6963310185185,2,0,0,0,124,0,0,62,0,15,16,6,0,0,0.14160159802676636,1
465320112,875.6959027777777,0,0,0,0,62,0,0,77,0,15,16,7,0,0,0.07080083363703106,1
465323067,875.6921759259259,5446,5989,0,9,309,0,0,58,0,12,7,0,0,0,0.35286372099923197,1
465323815,875.6910416666667,544,685,0,0,131,0,0,70,0,14,13,13,0,0,0.14959614021068088,1
465325040,875.6863425925926,480,671,0,0,161,0,0,63,0,13,14,6,0,0,0.1838557848686792,1
465325633,872.6879513888889,0,0,0,0,63,0,0,50,0,9,10,6,0,0,0.07219075252218655,1
465328572,873.6831828703704,0,0,0,0,48,0,0,58,0,9,10,7,0,0,0.054939823595279165,1
465334514,874.6740162037037,18,28,0,0,116,0,0,55,0,11,12,7,0,0,0.13262083669850758,1
465335657,875.6737847222222,0,0,0,0,137,0,0,42,0,13,14,4,0,0,0.15645095494894556,1
