user_id,user_id,user_age_days,tweet_count,avg_tweet_length,description_empty,avg_user_mention_count,followers_count,avg_hashtag_count,avg_tweets_per_day,label
0,tqjwp9hc,350.22496527777776,24.0,606.0,1,1.0,16.791666666666668,2,0.06833227239703424,0
1,sapx88dvy,0.0,1.0,0.0,1,0.0,63.0,1,1.0,0
2,5cj3dnb8,4.529791666666667,4.0,850.5,0,2.0,3.5,3,0.7233545567569604,0
3,rb83h70o1,105.1807175925926,7.0,0.0,1,0.0,20.428571428571427,2,0.06592534085951907,0
4,7rehtxt,255.1294675925926,96.0,231.28571428571428,1,9.0,47.68181818181818,3,0.3748104460697999,0
5,6vzbt9yjx,0.0,2.0,312.0,1,1.0,0.0,3,2.0,0
6,tvh85ucy,7.6025,27.0,135.0,1,1.0,4.352941176470588,4,3.1386224934612033,0
7,44f90,70.7321875,1.0,119.66666666666669,1,3.0,1.0,2,0.013940743128738407,0
8,kygxr4qwx,231.66297453703703,5.0,142.23809523809524,1,21.0,1.0,3,0.021490312371142073,0
9,8iq28tflt,0.000787037037037,2.0,0.0,1,0.0,0.5,1,1.9984271638062634,0
10,e4e6gvrca,307.6614814814815,5.0,553.6,1,5.0,521.4,1,0.0161989762247026,0
11,8ss6fy2j,6.002719907407408,4.0,0.0,1,1.0,1.0,3,0.571206624410158,0
12,auc3y8hfk,197.9666319444445,12.0,47.0,1,1.0,1.4,4,0.06031162051006946,0
13,lpuwu,361.7794097222222,15.0,86.71428571428571,1,14.0,498.8666666666667,2,0.04134744033980705,0
14,mxpph,321.5678703703704,19.0,186.0,1,3.0,73.15789473684211,2,0.058902332641451,0
15,vf86e1nw,60.13974537037037,15.0,158.77777777777777,0,9.0,1354.7272727272727,2,0.24533958898803856,0
16,giq8h1jh,218.26266203703705,6.0,0.0,1,0.0,16.333333333333332,1,0.027364440184469263,0
17,1swm,144.01606481481485,2.0,73.5,0,2.0,1234.0,2,0.013791575454443582,0
18,3ydtlb3o2,60.141469907407405,43.0,0.0,0,0.0,202.7560975609756,1,0.703286984515079,0
19,3zsqb,232.63929398148147,2.0,154.6,1,5.0,110.0,2,0.008560203919116972,0
20,obho8,280.4875,4.0,0.0,1,0.0,3281.5,1,0.014210222478795683,0
21,ltn0xwbpd,0.0,1.0,0.0,0,0.0,7.0,1,1.0,0
22,xq32ouxbj,42.66364583333333,31.0,512.9285714285714,0,14.0,206.2258064516129,1,0.7099727796054595,0
23,48ewmhpk,57.45034722222222,37.0,71.85714285714286,1,7.0,1450.6969696969695,3,0.6330159145048326,0
24,4olhy,34.53232638888889,1.0,97.5,1,4.0,0.0,2,0.028143386646158477,0
25,11s8q,122.88421296296296,31.0,87.0,0,2.0,279.35483870967744,1,0.2502336597905975,0
26,40kc9,128.93912037037038,1.0,116.08695652173913,1,23.0,1.0,1,0.007695911725042176,0
27,v7r4gdsy,97.04383101851852,2.0,129.66666666666666,1,6.0,230.5,2,0.020399039686874742,0
28,4qawh,157.77988425925926,29.0,1177.44,1,25.0,293.81481481481484,2,0.1826427833430598,0
29,gbcb7tic,54.630451388888886,2.0,170.14893617021278,1,47.0,431.5,1,0.03595153283979036,0
30,gcqi3,0.0780439814814814,1.0,506.0,1,2.0,27.0,1,0.9276059392546944,0
31,5ilsvck0,219.3929976851852,2.0,191.54545454545453,1,22.0,379.5,2,0.009074698475025279,0
32,6ick3b75,127.98601851851852,1.0,217.8181818181818,1,11.0,502.0,1,0.007752778258338365,0
33,6hvifgg19,116.40825231481482,1.0,204.16666666666663,1,12.0,493.0,1,0.008517288864147567,0
34,1bpefn6i,47.94563657407407,33.0,158.93939393939394,1,33.0,365.35483870967744,2,0.6742174034259003,0
35,dwrdrd8o1,98.43035879629628,2.0,116.10714285714286,1,28.0,11.5,3,0.02011458094099223,0
36,teo0vqx3,25.054270833333334,2.0,0.0,1,0.0,26.5,1,0.07676284678215743,0
37,ff654,221.74027777777775,3.0,77.71428571428571,1,7.0,47.333333333333336,3,0.013468601323165373,0
38,910gjkma,12.52699074074074,1.0,50.25,1,4.0,3.0,2,0.0739262722334975,0
39,cx6u65bu,349.1899421296296,17.0,179.70833333333334,1,24.0,71.82352941176471,3,0.04854508355270557,0
40,7pt5aqdx,86.81392361111111,67.0,188.71794871794876,1,39.0,225.9672131147541,2,0.7629769545056803,0
41,ebh9zfol,71.63064814814815,8.0,164.33333333333334,1,48.0,248.375,1,0.11014633910029308,0
42,pnq9a3jnz,36.93395833333334,17.0,301.72222222222223,1,18.0,345.11764705882354,1,0.4481472734961528,0
43,jaa6k,303.5205671296296,15.0,215.475,1,40.0,835.4666666666667,3,0.04925775668089681,0
44,35sge5c6,96.78466435185184,1.0,138.7391304347826,1,23.0,2.0,2,0.010226552462273313,0
45,j44lp47m,142.2327083333333,124.0,1017.6746987951808,1,83.0,470.61290322580646,1,0.8657240475508243,0
46,c5ns0,65.5123611111111,15.0,1179.611111111111,1,22.0,1028.4,1,0.22552198943805352,0
47,a4ol65bny,83.48878472222222,9.0,84.2,1,10.0,396.1111111111111,2,0.10652301402594115,0
48,2n8z65ke,37.48817129629629,134.0,139.63636363636363,1,22.0,116.57575757575758,2,3.481589160690906,0
49,5i82v,359.49689814814815,152.0,232.15625,1,32.0,1048.13698630137,3,0.42164024373251274,0
50,v07kudpgh,18.108229166666668,41.0,0.0,1,0.0,9.804878048780488,1,2.145672403360245,0
51,acgn8sop,170.2403125,74.0,136.5,1,2.0,200.48648648648648,1,0.432141234266902,0
52,7trwptdn,104.34358796296296,1.0,87.2,0,5.0,57.0,1,0.009492746728463276,0
53,oiz5m9v7k,67.99756944444445,29.0,153.57142857142858,1,7.0,899.0,3,0.4203046604902547,0
54,ys3u487jf,52.426516203703706,16.0,95.0,1,1.0,17.5,3,0.29947676054705635,0
55,3l6cgn5p,352.17315972222224,18.0,128.6,1,5.0,1023.4444444444443,4,0.05096650043892735,0
56,ocx43ctnu,0.0,1.0,0.0,1,0.0,243.0,1,1.0,0
57,tbp45hzqi,36.45391203703704,1.0,68.5,0,2.0,0.0,3,0.026699480658018585,0
58,n7g7xb9y,232.94752314814812,11.0,173.61111111111111,1,18.0,2.6666666666666665,3,0.04701909151239105,0
59,kcf73,340.89684027777776,4.0,174.75,1,19.0,16.5,4,0.011699435410839589,0
60,tls1qzm0a,17.85855324074074,1.0,83.0,0,1.0,3.0,2,0.05302633702778789,0
61,c3gm6srf,61.295138888888886,1.0,217.5,1,6.0,1734.0,1,0.01605261691098601,0
62,9lciktge8,360.67306712962966,134.0,176.53571428571428,1,28.0,286.2121212121212,4,0.3705003556484679,0
63,63slr90f,155.7228472222222,48.0,144.2,1,10.0,40.72916666666666,1,0.30627314938924827,0
64,urdczggtp,98.63041666666666,4.0,159.75,1,8.0,2.0,2,0.04014838172746777,0
65,w67krsht7,10.96087962962963,9.0,252.6,1,5.0,818.6666666666666,1,0.7524530200692845,0
66,z6k45xctc,49.87071759259259,1.0,58.526315789473685,1,21.0,0.0,3,0.019657674342412116,0
67,c8qo1y3og,27.591122685185184,1.0,185.42857142857144,0,7.0,4.0,1,0.03497589132861024,0
68,a1fmysdh,90.92890046296296,2.0,195.12,1,25.0,11.5,3,0.0217559438862839,0
69,gpb9g4i,104.5542824074074,3.0,176.33333333333334,1,15.0,511.0,3,0.028421395433497556,0
70,m84tsou1,247.1388425925926,33.0,0.0,0,0.0,16.896551724137932,4,0.13299006175418146,0
71,vetchf8zw,64.19598379629629,33.0,51.66666666666666,1,6.0,396.0,1,0.5061661482570449,0
72,c8qof,282.1838425925926,20.0,151.1818181818182,1,11.0,172.0,4,0.07062549832256267,0
73,e5agbc7y,85.25165509259259,1.0,196.35,1,60.0,3.0,2,0.011593980416103128,0
74,40dnozpu,70.21692129629629,2.0,255.11111111111111,1,9.0,814.5,1,0.028083213421695778,0
75,a1wigaib,116.83719907407408,2.0,173.46153846153845,1,13.0,295.5,1,0.016972569067453584,0
76,mrq5277l7,45.88386574074074,3.0,360.07142857142856,1,28.0,1386.6666666666667,1,0.06398789759763956,0
77,14lqmy,22.778715277777778,5.0,48.0,1,2.0,93.8,2,0.2102720833144721,0
78,3w5aqirzx,106.9142824074074,2.0,274.52830188679246,1,53.0,9.0,2,0.018533227997100752,0
79,u3cjh9hyi,37.82212962962963,1.0,397.6666666666667,1,3.0,2.0,1,0.025758504480310248,0
80,ko79etnwq,260.49254629629627,13.0,17.5,1,2.0,1.1428571428571428,4,0.04971461016433618,0
81,seli99fl8,61.0802662037037,74.0,0.0,1,0.0,25.41891891891892,1,1.1920051978705137,0
82,anl9hd4t,41.7815625,44.0,344.25,1,21.0,207.725,2,1.0284804347667293,0
83,2qfw4go5,0.0,1.0,0.0,1,0.0,114.0,1,1.0,0
84,7ntlhm3i,41.59041666666667,1.0,78.8,1,5.0,8.0,1,0.023479460363735973,0
85,1oeatfw9,223.5280787037037,16.0,1004.0,1,5.0,122.4,3,0.07126057503531327,0
86,ercgf3f,191.6942824074074,1.0,59.94736842105263,1,19.0,521.0,2,0.005189567575677891,0
87,tq7ct,50.44912037037037,1.0,161.4,1,5.0,36.0,1,0.01943667827168337,0
88,fhi8w0t9q,130.6901967592593,6.0,108.36842105263158,1,19.0,0.6666666666666666,4,0.045561477981299565,0
89,29bp796v,117.31552083333334,1.0,95.5,1,4.0,10.0,1,0.008451976485897085,0
90,izb2t6l4,86.63978009259259,3.0,93.35,1,22.0,141.0,1,0.03423103066701514,0
91,h7eq5,126.45427083333334,7.0,262.64,1,25.0,246.14285714285717,1,0.054921658993707705,0
92,qrafvg468,114.59480324074076,11.0,109.59649122807018,0,57.0,203.3636363636364,1,0.09515998722789563,0
93,nem17ldu3,81.76039351851851,9.0,111.75,1,8.0,219.44444444444449,1,0.10874767044197482,0
94,64a0j,45.91792824074074,14.0,89.66666666666667,1,3.0,297.07142857142856,2,0.2983933972566852,0
95,4zqyxb78,218.61520833333333,1.0,176.0,1,23.0,647.0,2,0.004553418716258456,0
96,agbbmp54,137.1791087962963,5.0,1197.5,1,2.0,189.6,1,0.03618492001834374,0
97,q4tlimf56,18.82642361111111,19.0,304.6666666666667,0,3.0,23.5,5,0.9583170607406992,0
98,ccay2mcu,0.0,1.0,0.0,1,0.0,1.0,1,1.0,0
99,q5he3klo,40.96783564814815,1.0,57.0,1,1.0,96.0,1,0.02382777154351836,0
100,yvdgg,306.5438657407407,1.0,322.6666666666667,1,6.0,1.0,3,0.003251568674899207,0
