tweet_count,followers_count,following_count,listed_count,user_age_days,avg_tweets_per_day,follower_following_ratio,has_url,is_verified,description_length,has_geo,is_protected,favourites_count,label
827,6,64,1,1621,0.5101789019123998,0.09375,0,0,51,0,0,7,1
837,9,112,0,1621,0.5163479333744602,0.08035714285714286,0,0,152,0,0,14,1
1121,24,67,0,1621,0.6915484268969772,0.3582089552238806,0,0,47,0,0,10,1
764,11,112,0,1621,0.4713140037014189,0.09821428571428571,0,0,27,0,0,13,1
920,5,66,0,1621,0.567550894509562,0.07575757575757576,0,0,78,0,0,15,1
869,8,66,0,1621,0.5360888340530536,0.12121212121212122,0,0,103,0,0,11,1
959,8,116,1,1621,0.5916101172115977,0.06896551724137931,0,0,0,0,0,24,1
882,9,112,0,1621,0.5441085749537322,0.08035714285714286,0,0,3,0,0,8,1
46,0,22,0,1621,0.0283775447254781,0.0,0,0,38,0,0,0,1
838,11,58,0,1620,0.5172839506172839,0.1896551724137931,0,0,27,0,0,0,1
584,5,57,0,1620,0.36049382716049383,0.08771929824561403,0,0,73,0,0,8,1
148,0,51,0,1620,0.09135802469135802,0.0,0,0,9,0,0,933,1
150,3,48,1,1620,0.09259259259259259,0.0625,0,0,42,0,0,121,1
682,13,101,0,1620,0.42098765432098767,0.12871287128712872,0,0,7,0,0,0,1
272,1,5,0,1620,0.16790123456790124,0.2,0,0,153,0,0,0,1
763,11,55,2,1620,0.47098765432098766,0.2,0,0,69,0,0,0,1
788,7,55,1,1620,0.48641975308641977,0.12727272727272726,0,0,13,0,0,0,1
77,4,45,0,1620,0.047530864197530866,0.08888888888888889,0,0,17,0,0,0,1
207,246,180,0,611,0.33878887070376434,1.3666666666666667,0,0,18,0,0,14,1
2883,366,682,0,414,6.963768115942029,0.5366568914956011,0,0,0,0,0,1003,1
4515,345,794,1,414,10.905797101449275,0.4345088161209068,0,0,0,0,0,1415,1
3650,312,694,2,413,8.837772397094431,0.4495677233429395,0,0,0,0,0,1259,1
4116,460,438,7,412,9.990291262135923,1.0502283105022832,0,0,0,0,0,1379,1
33,2,291,0,365,0.09041095890410959,0.006872852233676976,0,0,0,0,0,0,1
15,0,156,0,355,0.04225352112676056,0.0,0,0,0,0,0,0,1
31,1,340,0,355,0.08732394366197183,0.0029411764705882353,0,0,0,0,0,0,1
6,1,336,0,355,0.016901408450704224,0.002976190476190476,0,0,0,0,0,0,1
217,212,177,11,352,0.6164772727272727,1.1977401129943503,1,0,158,0,0,189,1
41,0,117,0,352,0.11647727272727272,0.0,0,0,0,0,0,0,1
30,0,104,0,348,0.08620689655172414,0.0,0,0,0,0,0,0,1
22,0,168,0,337,0.06528189910979229,0.0,0,0,0,0,0,0,1
52,4,236,0,336,0.15476190476190477,0.01694915254237288,0,0,0,0,0,0,1
87,1,184,0,323,0.2693498452012384,0.005434782608695652,0,0,83,0,0,0,1
27,0,37,0,316,0.08544303797468354,0.0,0,0,0,0,0,0,1
60,0,0,0,315,0.19047619047619047,0.0,0,0,0,0,0,0,1
13,0,0,0,315,0.04126984126984127,0.0,0,0,0,0,0,0,1
7,1,20,0,312,0.022435897435897436,0.05,0,0,0,0,0,0,1
79,0,162,0,312,0.2532051282051282,0.0,0,0,0,0,0,0,1
29,0,40,0,310,0.0935483870967742,0.0,0,0,0,0,0,0,1
26,0,0,0,310,0.08387096774193549,0.0,0,0,0,0,0,0,1
17,0,0,0,307,0.05537459283387622,0.0,0,0,0,0,0,0,1
14,0,0,0,307,0.04560260586319218,0.0,0,0,0,0,0,0,1
5,0,0,0,307,0.016286644951140065,0.0,0,0,0,0,0,0,1
24,0,63,0,307,0.0781758957654723,0.0,0,0,0,0,0,0,1
37,1,0,0,305,0.12131147540983607,0.0,0,0,0,0,0,0,1
17,0,21,0,305,0.05573770491803279,0.0,0,0,0,0,0,0,1
28,0,0,0,305,0.09180327868852459,0.0,0,0,0,0,0,0,1
43,0,21,0,305,0.14098360655737704,0.0,0,0,0,0,0,0,1
40,0,49,0,305,0.13114754098360656,0.0,0,0,0,0,0,0,1
36,0,21,0,305,0.1180327868852459,0.0,0,0,0,0,0,0,1
60,0,0,0,305,0.19672131147540983,0.0,0,0,0,0,0,0,1
68,0,21,0,305,0.22295081967213115,0.0,0,0,0,0,0,0,1
120,0,21,0,304,0.39473684210526316,0.0,0,0,0,0,0,0,1
71,4,598,0,304,0.23355263157894737,0.006688963210702341,0,0,0,0,0,0,1
15,0,0,0,304,0.049342105263157895,0.0,0,0,0,0,0,0,1
12,0,312,0,303,0.039603960396039604,0.0,0,0,0,0,0,0,1
